pressure1,pressure2,temperature
9521,18979,2103
9501,18976,2103
9516,18976,2103
9497,18979,2103
9521,18976,2103
9506,18976,2103
9516,18979,2103
9497,18979,2103
9516,18979,2103
9497,18976,2103
9497,18976,2103
9492,18979,2103
9516,18979,2103
9482,18976,2103
9511,18976,2103
9501,18979,2103
9506,18976,2103
9482,18979,2102
9506,18976,2102
9492,18979,2102
9511,18979,2102
9482,18979,2102
9492,18979,2102
9492,18976,2102
9501,18979,2102
9497,18979,2102
9506,18979,2102
9501,18976,2102
9501,18979,2102
9477,18979,2102
9497,18979,2102
9477,18979,2102
9492,18973,2102
9497,18976,2102
9501,18979,2102
9477,18976,2102
9482,18979,2102
9477,18976,2102
9497,18976,2102
9487,18976,2102
9497,18976,2102
9477,18979,2102
9501,18979,2102
9468,18979,2102
9492,18979,2102
9463,18976,2102
9497,18976,2102
9487,18982,2102
9497,18976,2102
9468,18979,2102
9487,18976,2102
9458,18976,2102
9482,18979,2102
9472,18979,2102
9501,18973,2102
9487,18979,2102
9497,18976,2102
9482,18979,2102
9482,18979,2103
9482,18976,2103
9511,18976,2103
9497,18976,2103
9501,18979,2103
9472,18979,2102
9501,18976,2103
9487,18976,2103
9506,18979,2103
9497,18976,2103
9516,18979,2103
9472,18976,2103
9492,18976,2103
9472,18976,2103
9487,18973,2103
9463,18976,2103
9497,18976,2103
9477,18973,2103
9477,18976,2103
9453,18979,2103
9472,18976,2103
9453,18976,2103
9487,18976,2103
9463,18979,2103
9468,18979,2103
9458,18976,2103
9458,18979,2103
9458,18976,2103
9482,18976,2103
9463,18976,2103
9487,18979,2103
9453,18976,2103
9472,18976,2103
9448,18976,2103
9463,18976,2103
9434,18976,2103
9448,18979,2103
9453,18979,2103
9463,18976,2103
9439,18976,2103
9448,18976,2103
9434,18979,2103
9458,18976,2103
9443,18976,2103
9468,18979,2103
9453,18976,2103
9463,18976,2103
9448,18979,2103
9463,18979,2103
9448,18976,2103
9472,18976,2103
9468,18976,2103
9487,18976,2103
9448,18976,2103
9458,18976,2103
9439,18979,2103
9477,18976,2103
9468,18976,2103
9468,18979,2103
9448,18976,2103
9463,18979,2103
9429,18979,2103
9458,18976,2103
9439,18976,2103
9472,18979,2103
9448,18976,2103
9453,18979,2103
9434,18979,2103
9443,18979,2103
9443,18979,2103
9477,18979,2103
9458,18979,2103
9463,18979,2103
